"Location","Total Distance (km)","Distance (km)","Ascent (m)","Descent (m)","Total Ascent (m)","Total Descent (m)","Notes"
"Whakapapa Holiday Park","1900.1","20.8","639","305","58741","57565","km 1900.9 (TA 1172.3) | Facilities: Holiday park accommodation. DOC conservation campsite, tent sites for camping, powered sites for campervans | Address: Whakapapa Village, Tongariro National Park - North Island > Bay of Plenty > Central North Island > Ruapehu | Phone: 07 892 3897 | Website: https://www.whakapapa.net.nz/ | Categories: RVPark LodgingBusiness"
"Whakapapa Village","1900.3","0.2","0","8","58741","57573","km 1901.1 (TA 1172.1) | Camp store carries little more than ice blocks and muesli bars. Not a resupply."
"Waitomo","2188","287.7","6664","7714","65405","65287","km 2190.0 (TA 883.2) | Waitomo Village Store 7am-7pm, expensive. Cafes and restaurants."
"Waitomo Top 10 Holiday Park","2188.2","0.2","0","14","65405","65302","km 2190.1 (TA 883.1) | Facilities: Holiday park, campground, motorhomes, campervans, tent sites | Address: 12 Waitomo Village Road Waitomo Caves Village 3977 | Phone: (07) 878 7639 | Hours: 9:00am - 8:00pm | Website: http://www.waitomopark.co.nz | Categories: RVPark LodgingBusiness"
"Whatawhata","2271.2","83.1","3065","3107","68470","68409","km 2273.4 (TA 799.8) | Petrol station store, gastro pub and village cafe."
"Hamilton","2285.5","14.3","91","69","68561","68477","km 2287.7 (TA 785.5) | Pak'nSave, Woolworths, Trek N Travel outdoor store. Full gear replacement."
"Trail ends - Devonport","2464.8","179.3","2079","2121","70639","70598","The walking route stops here and starts again 2.9 km away. Crossed by Devonport Ferry crossing."
"Ōrewa Beach Holiday Park","2512.6","47.8","1010","1010","71649","71608","km 2514.9 (TA 558.3) | Facilities: Holiday park accommodation, tent sites for camping, powered sites for campervans, cabins | Address: 265 Hibiscus Coast Highway, Orewa Beach | Phone: 0800 673 921 | Website: https://www.aucklandcouncil.govt.nz/parks-recreation/Pages/park-details.aspx?Location=3542#about | Categories: RVPark LodgingBusiness"
"Puhoi","2531.8","19.2","308","288","71957","71896","km 2534.1 (TA 539.1) | General store 7am-7pm, historic pub, three cafes."
"Pakiri Beach Holiday Park","2583","51.2","2367","2370","74324","74266","km 2585.1 (TA 488.1) | Camp store: food, drinks, milk, bread. 9am-5pm summer only."
"Pakiri Beach Holiday Park","2585.6","2.6","20","26","74344","74291","km 2587.7 (TA 485.5) | Facilities: Holiday park, campground, accommodation, lodges, flats, self contained units, store. Dump station. | Address: 261 Pakiri River Road, Pakiri | Phone: (09) 422 6199 | Hours: 9:00am - 5:00pm | Website: http://www.pakiriholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"Riverside Holiday Park","2606.9","21.2","117","121","74461","74413","km 2609.0 (TA 464.3) | Facilities: Holiday park accommodation, camping ground | Address: Black Swamp Road, Mangawhai | Phone: (09) 431 4825 | Website: https://www.riversideholidaypark.co.nz/ | Categories: LodgingBusiness"
"Mangawhai Heads","2612.8","5.9","54","32","74515","74444","km 2614.8 (TA 458.4) | Four Square at 3 Wood St. Holiday park."
"Mangawhai Heads Holiday Park","2614.1","1.4","15","36","74530","74480","km 2616.3 (TA 456.9) | "
"Waipu","2642.7","28.5","902","900","75432","75380","km 2644.8 (TA 428.4) | Four Square, cafes, hotel with budget rooms. Camp Waipu Cove has a dairy."
"Ruakaka Reserve Motor Camp","2653","10.3","18","27","75450","75407","km 2655.2 (TA 418.0) | Facilities: motor camp | Address: 21 Ruakaka Beach Road | Phone: (09) 432 7590 | Website: http://www.motorcamp.co.nz/ | Categories: RVPark LodgingBusiness"
"Trail ends - Whangarei Heads","2663.7","10.7","5","7","75455","75414","The walking route stops here and starts again 1.1 km away. Crossed by Whangarei Heads crossing."
"Opua","2819.3","155.6","4348","4355","79803","79768","km 2821.3 (TA 251.9) | Small general store, expensive. Ferry point."
"Paihia Top 10 Holiday Park","2822.7","3.5","85","79","79888","79848","km 2824.7 (TA 248.5) | Facilities: Accommodation: powered caravan/campervan sites, tents, Kayak hire, dump station | Address: 1290 State Highway 11, Paihia, | Phone: (09) 402 7678 | Hours: 9:00am - 6:00pm | Website: http://www.beachsideholiday.co.nz | Categories: LodgingBusiness"
"Kaitaia","2955.3","132.5","3264","3250","83152","83098","km 2957.2 (TA 116.0) | Pak'nSave, Bells Produce, two bulk-food shops. 14 km inland from Ahipara; hitch or bus."
"Ahipara","2968.5","13.2","57","60","83209","83157","km 2970.4 (TA 102.8) | Ahipara Superette: groceries and post shop. Cafe closes 2pm. First resupply after Cape Reinga."
"Ahipara Holiday Park","2969.7","1.3","0","10","83209","83167","km 2971.7 (TA 101.5) | Facilities: Accommodation, tent and power sites for campervans and caravans, cabins and a self-contained lodge. | Address: 164-170 Takahe St, Ahipara | Phone: (09) 409 4864 | Website: https://ahiparaholidaypark.co.nz/ | Categories: LodgingBusiness"
"Ngapae Holiday Park","2983.9","14.2","12","14","83221","83181","km 2985.8 (TA 87.4) | Facilities: Holiday park accommodation, campground, motorhomes, powered sites for campervans, tent sites for camping | Address: 6 Matai Street Waipapakauri 0486 | Phone: (09) 406 7298 | Hours: 9:00am - 6:00pm | Website: https://www.ngapaeholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"End: Te Araroa (NOBO)","3071.4","87.5","644","500","83865","83681",""
