query	name	type	boxes	notes
Whatawhata	Whatawhata	food	no	Petrol station store, gastro pub and village cafe.
Waitomo Caves	Waitomo	resupply	no	Waitomo Village Store 7am-7pm, expensive. Cafes and restaurants.
Te Kuiti	Te Kuiti	town	no	New World and SuperValue.
Taumarunui	Taumarunui	town	no	New World at the west end. Seriously Outdoors for gear; canoe hire.
Owhango	Owhango	food	no	Blue Hill Cafe, 8am-2pm.
Whakapapa Village	Whakapapa Village	food	no	Camp store carries little more than ice blocks and muesli bars. Not a resupply.
National Park Ruapehu	National Park (Waimarino)	resupply	no	Four Square, well stocked with dehydrated meals and gas. First real shop since Whanganui.
Whakahoro	Whakahoro	food	yes	Blue Duck Cafe 8am-3pm Thu-Mon. DoC campsite. Blue Duck Station does meals and accommodation.
Pipiriki	Pipiriki	food	no	Minimal cafe and shop at the campground. Jetboat transfers.
Matahiwi	Matahiwi	food	no	Matahiwi Gallery and Cafe: coffee, cold drinks, local knowledge.
Whanganui	Whanganui	town	yes	New World, Countdown, Pak'nSave. Kathmandu; Wilsons Hunting and Outdoors stores bounce boxes.
Bulls	Bulls	town	no	Four Square at 114 Bridge St, plus takeaways.
Feilding	Feilding	town	no	New World, Bin Inn. Friday farmers market. 2-3 km off trail.
Palmerston North	Palmerston North	town	no	Pak'nSave, Woolworths, New World, Bin Inn. Full resupply.
Bunnythorpe	Bunnythorpe	food	no	Dairy, takeaway bar and toilets, on trail.
Levin	Levin	town	no	Pak'nSave, New World, Countdown. About 9 km off trail.
Waikanae	Waikanae	town	no	Countdown and New World near the town centre. No backpackers.
Paraparaumu Beach	Paraparaumu Beach	town	no	Cafes, shops and a small supermarket.
Paekakariki	Paekakariki	resupply	no	Dairy/grocery, two fruit and vegetable shops, cafes and a pub.
Porirua	Porirua	town	no	New World, Woolworths and Pak'nSave together, 150 m off trail.
Wellington	Wellington	town	yes	Capital: full resupply, gear stores, bulk-food refilleries. End of the North Island.
Picton	Picton	town	no	Four Square and FreshChoice on High St. Ferry arrival; off the walking route.
Havelock	Havelock	town	yes	Small Four Square, post office, cafes. Havelock Holiday Park accepts food parcels.
Nelson	Nelson	town	no	Supermarkets, outdoor shops, backpackers. About 29 km off trail from Hacket car park.
Saint Arnaud Tasman	St Arnaud	resupply	yes	General store and 24 hr NPD station; DoC centre sells gas and dehydrated meals. Alpine Lodge holds parcels ($15-30). Expensive.
Hanmer Springs	Hanmer Springs	town	no	Four Square, hot pools, backpackers. About 55 km off trail from Boyle; shuttle or hitch.
Boyle Village Canterbury	Boyle Village	resupply	yes	No shop. Boyle River Outdoor Education Centre holds resupply boxes, sells basic food, beds $50.
Arthurs Pass	Arthur's Pass	resupply	yes	Arthur's Pass Cafe and Store: limited, expensive groceries. DoC centre sells gas. Mountain House holds boxes.
Lake Coleridge	Lake Coleridge Village	food	yes	No shops. Powerhouse Lodge holds bounce boxes and has tent sites.
Methven	Methven	town	yes	Two supermarkets, Alpine Sports for dehydrated meals and gas. Snow Denn Lodge holds boxes ($5). Shuttle from Rakaia.
Geraldine	Geraldine	town	no	Supermarket and accommodation. About 70 km from the Rangitata via Methven; community shuttle $24.
Peel Forest	Peel Forest	resupply	no	DoC Peel Forest camp and a small store. Homestay offers transport to the trailhead.
Mesopotamia Station	Mesopotamia Station	food	yes	Historic station near the Rangitata; holds food parcels.
Mount Potts	Mt Potts Lodge	food	yes	Cafe and restaurant, closed Tue/Wed, book meals ahead. Has held food parcels; check first.
Lake Tekapo	Lake Tekapo	town	yes	Large Four Square, cafes. Tailormade Backpackers and Bespoke Bikes receive bounce boxes.
Twizel	Twizel	town	yes	Two Four Squares, Southern Alps Outdoors for gas. High Country Lodge holds parcels.
Lake Hawea	Lake Hawea	resupply	no	Sailz general store with cafe, open to 9pm; FreshChoice on Bodkin St; Hawea Hotel for pub food.
Albert Town	Albert Town	resupply	no	Small Four Square and a patisserie, a short detour off trail.
Wanaka	Wanaka	town	no	New World, Four Square, Mediterranean Market for bulk, Macpac. Full resupply.
Arrowtown	Arrowtown	resupply	no	Small supermarket and a Night'n Day; limited and expensive. Hourly bus to Queenstown.
Frankton Queenstown	Frankton	town	no	Pak'nSave, New World, Woolworths. Cheapest resupply in the Queenstown basin.
Queenstown	Queenstown	town	no	FreshChoice, Four Square, outdoor stores. Full gear replacement.
Glenorchy	Glenorchy	resupply	no	Glenorchy Hotel general store. About 1.5 hr drive from the Greenstone car park.
Te Anau	Te Anau	town	no	Four Square and FreshChoice, Outside Sports. 28-35 km off trail from SH94; shuttle or hitch.
Mossburn	Mossburn	resupply	no	Four Square at 37 Devon St. About 20 km from the Princhester/SH94 junction.
The Key Southland	The Key (Princhester)	food	no	Sprig and Thistle coffee caravan at the SH94 junction, Tue-Fri 7am-3pm, Sat 8am-2pm.
Nightcaps Southland	Nightcaps	resupply	no	Four Square and a pub. About 9-16 km east of the trail near Birchwood.
Otautau	Otautau	resupply	no	Small supermarket, hotels with backpacker beds. About 12-16 km east of Merrivale Rd.
Tuatapere	Tuatapere	resupply	no	Small supermarket, several lodges. About 26 km west of Merrivale Rd.
Colac Bay	Colac Bay	food	no	Colac Bay Bakehouse and Cafe with a camping ground; shop operating.
Riverton	Riverton	town	no	FreshChoice/SuperValue on Palmerston St, cafes and takeaways. Holiday park.
Otatara	Otatara	resupply	no	Four Square, on the way into Invercargill.
Invercargill	Invercargill	town	no	Pak'nSave, New World, Woolworths, Macpac and Kathmandu. Last full resupply.
Bluff	Bluff	town	no	Four Square. Trail end at Stirling Point.
